date,category,amount,description
01-04-2026,Food,120,Breakfast
01-04-2026,Travel,300,Bus pass
02-04-2026,Food,250,Lunch
02-04-2026,Entertainment,500,Movie
03-04-2026,Bills,1200,Electricity bill
03-04-2026,Food,180,Dinner
04-04-2026,Shopping,1500,Clothes
05-04-2026,Travel,200,Auto fare
05-04-2026,Food,220,Snacks
06-04-2026,Bills,800,Internet bill
06-04-2026,Food,150,Breakfast
07-04-2026,Travel,350,Cab ride3
07-04-2026,Food,270,Lunch
08-04-2026,Entertainment,600,Concert
08-04-2026,Food,200,Dinner
09-04-2026,Bills,900,Water bill
09-04-2026,Food,130,Breakfast
10-04-2026,Shopping,2000,Groceries
10-04-2026,Travel,250,Metro
11-04-2026,Food,300,Lunch
11-04-2026,Entertainment,400,Game
12-04-2026,Food,180,Dinner
12-04-2026,Bills,1000,Mobile recharge
13-04-2026,Travel,150,Auto
13-04-2026,Food,220,Snacks
14-04-2026,Shopping,1800,Shoes
14-04-2026,Food,260,Lunch
15-04-2026,Entertainment,700,Event
15-04-2026,Food,210,Dinner
16-04-2026,Bills,1100,Rent
16-04-2026,Travel,300,Bus
17-04-2026,Food,190,Breakfast
17-04-2026,Shopping,1200,Accessories
18-04-2026,Food,280,Lunch
18-04-2026,Entertainment,550,Movie
19-04-2026,Bills,950,Electricity
19-04-2026,Food,200,Dinner
20-04-2026,Travel,220,Auto
20-04-2026,Food,240,Snacks
21-04-2026,Shopping,1700,Groceries
21-04-2026,Food,260,Lunch
22-04-2026,Entertainment,650,Show
22-04-2026,Food,210,Dinner
23-04-2026,Bills,1000,Internet
23-04-2026,Travel,280,Cab
24-04-2026,Food,180,Breakfast
24-04-2026,Shopping,1400,Clothes
25-04-2026,Food,300,Lunch
25-04-2026,Entertainment,500,Movie
26-04-2026,Bills,850,Water
26-04-2026,Food,200,Dinner
27-04-2026,Travel,260,Bus
27-04-2026,Food,230,Snacks
28-04-2026,Shopping,1600,Shoes
28-04-2026,Food,270,Lunch
29-04-2026,Entertainment,600,Concert
29-04-2026,Food,220,Dinner
30-04-2026,Bills,1200,Rent
30-04-2026,Travel,300,Metro
01-05-2026,Food,150,Breakfast
01-05-2026,Travel,320,Bus
02-05-2026,Food,260,Lunch
02-05-2026,Entertainment,450,Game
03-05-2026,Bills,1100,Electricity
03-05-2026,Food,210,Dinner
04-05-2026,Shopping,1300,Groceries
04-05-2026,Travel,280,Auto
05-05-2026,Food,240,Snacks
05-05-2026,Bills,900,Internet
06-05-2026,Food,160,Breakfast
06-05-2026,Travel,350,Cab
07-05-2026,Food,280,Lunch
07-05-2026,Entertainment,550,Movie
08-05-2026,Bills,1000,Water
08-05-2026,Food,200,Dinner
09-05-2026,Shopping,1700,Clothes
09-05-2026,Food,260,Lunch
10-05-2026,Entertainment,600,Event
10-05-2026,Food,220,Dinner
11-05-2026,Bills,1200,Rent
11-05-2026,Travel,300,Metro
12-05-2026,Food,180,Breakfast
12-05-2026,Shopping,1400,Accessories
13-05-2026,Food,300,Lunch
13-05-2026,Entertainment,500,Movie
14-05-2026,Bills,850,Electricity
14-05-2026,Food,200,Dinner
15-05-2026,Travel,260,Bus
15-05-2026,Food,230,Snacks
16-05-2026,Shopping,1600,Shoes
16-05-2026,Food,270,Lunch
17-05-2026,Entertainment,600,Concert
17-05-2026,Food,220,Dinner
18-05-2026,Bills,1200,Rent
18-05-2026,Travel,300,Metro
19-05-2026,Food,150,Breakfast
19-05-2026,Travel,320,Bus
20-05-2026,Food,260,Lunch
20-05-2026,Entertainment,450,Game
01-06-2026,food,200,lunch
